,Latitude,Longitude,Airport,Water,Building,Green_Space,Railway_Station,Urban_Area
25192,51.52050406569232,0.2338176948359154,0.0,1.0,1.0,1.0,0.0,0.0
25193,51.520477814835054,0.2374307167714498,0.0,1.0,0.0,1.0,0.0,0.0
25194,51.52045145299893,0.2410437345329911,0.0,1.0,0.0,1.0,0.0,0.0
25195,51.5204249801842,0.2446567481029405,0.0,1.0,0.0,1.0,0.0,0.0
25196,51.52039839639108,0.248269757463697,0.0,1.0,0.0,1.0,0.0,0.0
25197,51.52037170161982,0.2518827625976609,0.0,0.0,1.0,1.0,0.0,0.0
25198,51.52034489587065,0.2554957634872331,0.0,0.0,1.0,1.0,0.0,0.0
25199,51.52031797914381,0.2591087601148142,0.0,1.0,0.0,1.0,0.0,0.0
25200,51.52029095143955,0.2627217524628041,0.0,1.0,0.0,1.0,0.0,0.0
25201,51.52026381275808,0.2663347405136046,0.0,1.0,0.0,1.0,0.0,0.0
25202,51.52023656309965,0.2699477242496161,0.0,1.0,0.0,1.0,0.0,0.0
25203,51.520209202464514,0.27356070365324,0.0,1.0,0.0,1.0,0.0,0.0
25204,51.5201817308529,0.2771736787068775,0.0,1.0,0.0,1.0,0.0,0.0
25205,51.52015414826507,0.2807866493929311,0.0,1.0,1.0,1.0,0.0,1.0
25206,51.520126454701256,0.2843996156938006,0.0,1.0,0.0,1.0,0.0,1.0
25207,51.5200986501617,0.2880125775918887,0.0,0.0,1.0,1.0,0.0,1.0
25208,51.52007073464666,0.2916255350695979,0.0,0.0,1.0,0.0,0.0,1.0
25209,51.52004270815636,0.2952384881093292,0.0,0.0,1.0,1.0,0.0,1.0
25210,51.52001457069106,0.2988514366934858,0.0,0.0,1.0,1.0,0.0,1.0
25211,51.519986322251015,0.3024643808044698,0.0,0.0,1.0,1.0,0.0,1.0
25212,51.519957962836486,0.3060773204246837,0.0,0.0,1.0,0.0,0.0,1.0
25213,51.5199294924477,0.3096902555365301,0.0,0.0,0.0,0.0,0.0,1.0
25214,51.51990091108491,0.3133031861224121,0.0,1.0,0.0,1.0,0.0,1.0
25215,51.51987221874839,0.3169161121647325,0.0,0.0,0.0,1.0,0.0,0.0
25216,51.51984341543837,0.3205290336458948,0.0,0.0,0.0,1.0,0.0,0.0
25217,51.51981450115513,0.3241419505483023,0.0,0.0,0.0,0.0,0.0,0.0
25218,51.519785475898914,0.3277548628543587,0.0,0.0,0.0,1.0,0.0,0.0
25219,51.52134694013188,-0.6188393087074969,0.0,0.0,1.0,0.0,0.0,1.0
25220,51.521346884633125,-0.6152259725594438,0.0,0.0,1.0,1.0,0.0,1.0
25221,51.52134671813687,-0.6116126364290044,0.0,0.0,1.0,1.0,0.0,1.0
25222,51.52134644064313,-0.6079993003337929,0.0,0.0,1.0,1.0,0.0,1.0
25223,51.52134605215189,-0.6043859642914233,0.0,0.0,1.0,1.0,0.0,1.0
25224,51.52134555266315,-0.6007726283195093,0.0,0.0,1.0,0.0,0.0,1.0
25225,51.52134494217693,-0.5971592924356647,0.0,0.0,1.0,1.0,0.0,1.0
25226,51.52134422069322,-0.5935459566575036,0.0,0.0,1.0,1.0,0.0,1.0
25227,51.52134338821204,-0.5899326210026401,0.0,0.0,1.0,1.0,0.0,1.0
25228,51.52134244473339,-0.5863192854886876,0.0,0.0,1.0,1.0,0.0,1.0
25229,51.52134139025728,-0.5827059501332604,0.0,0.0,1.0,1.0,0.0,1.0
25230,51.52134022478372,-0.5790926149539721,0.0,0.0,1.0,0.0,0.0,1.0
25231,51.52133894831272,-0.5754792799684368,0.0,0.0,1.0,1.0,0.0,1.0
25232,51.52133756084428,-0.5718659451942684,0.0,0.0,1.0,0.0,0.0,1.0
25233,51.52133606237843,-0.5682526106490805,0.0,1.0,1.0,1.0,0.0,1.0
25234,51.521334452915184,-0.5646392763504872,0.0,1.0,1.0,1.0,0.0,1.0
25235,51.52133273245454,-0.5610259423161023,0.0,1.0,1.0,1.0,0.0,1.0
25236,51.52133090099653,-0.5574126085635395,0.0,0.0,1.0,1.0,0.0,0.0
25237,51.521328958541154,-0.5537992751104128,0.0,0.0,1.0,1.0,0.0,0.0
25238,51.52132690508842,-0.5501859419743359,0.0,1.0,0.0,1.0,0.0,0.0
25239,51.5213247406384,-0.5465726091729227,0.0,1.0,0.0,1.0,0.0,0.0
25240,51.521322465191055,-0.542959276723787,0.0,1.0,0.0,1.0,0.0,0.0
25241,51.52132007874642,-0.5393459446445426,0.0,1.0,1.0,1.0,0.0,0.0
25242,51.521317581304544,-0.5357326129528031,0.0,1.0,1.0,0.0,0.0,0.0
25243,51.52131497286542,-0.5321192816661824,0.0,0.0,0.0,0.0,0.0,1.0
25244,51.52131225342907,-0.528505950802294,0.0,0.0,1.0,0.0,0.0,1.0
25245,51.52130942299554,-0.5248926203787522,0.0,0.0,1.0,1.0,0.0,1.0
25246,51.52130648156484,-0.5212792904131701,0.0,0.0,1.0,1.0,0.0,1.0
25247,51.52130342913698,-0.5176659609231617,0.0,0.0,1.0,0.0,0.0,1.0
25248,51.521300265712014,-0.5140526319263408,0.0,0.0,1.0,1.0,0.0,1.0
25249,51.52129699128998,-0.5104393034403206,0.0,0.0,1.0,1.0,0.0,1.0
25250,51.52129360587087,-0.5068259754827152,0.0,0.0,1.0,1.0,0.0,1.0
25251,51.52129010945473,-0.5032126480711381,0.0,0.0,1.0,1.0,0.0,1.0
25252,51.52128650204159,-0.4995993212232028,0.0,1.0,1.0,1.0,0.0,1.0
25253,51.5212827836315,-0.4959859949565229,0.0,1.0,1.0,1.0,0.0,0.0
25254,51.52127895422447,-0.4923726692887119,0.0,1.0,0.0,1.0,0.0,1.0
25255,51.52127501382054,-0.4887593442373837,0.0,1.0,1.0,1.0,0.0,1.0
25256,51.52127096241974,-0.4851460198201515,0.0,1.0,1.0,1.0,0.0,1.0
25257,51.521266800022126,-0.4815326960546288,0.0,1.0,1.0,0.0,0.0,1.0
25258,51.52126252662772,-0.4779193729584291,0.0,0.0,1.0,1.0,0.0,1.0
25259,51.52125814223656,-0.474306050549166,0.0,1.0,1.0,1.0,0.0,1.0
25260,51.521253646848685,-0.4706927288444528,0.0,1.0,1.0,1.0,0.0,1.0
25261,51.52124904046413,-0.467079407861903,0.0,0.0,1.0,1.0,0.0,1.0
25262,51.52124432308295,-0.4634660876191298,0.0,0.0,1.0,0.0,0.0,1.0
