,Latitude,Longitude,Magnitude
0,51.715615978841335,-0.6194821626131114,1
1,51.71561508465375,-0.6049668142493154,1
2,51.715612402091125,-0.5904514670335298,1
3,51.71560793115384,-0.5759361221137643,1
4,51.71560167184254,-0.5614207806380274,1
5,51.71559362415812,-0.5469054437543255,1
6,51.71558378810174,-0.5323901126106624,1
7,51.71557216367479,-0.5178747883550385,1
8,51.715558750878955,-0.5033594721354506,1
9,51.715543549716145,-0.4888441650998908,1
10,51.71552656018854,-0.4743288683963454,1
11,51.71550778229859,-0.4598135831727955,1
12,51.71548721604896,-0.44529831057721514,1
13,51.71546486144261,-0.43078305175757137,1
14,51.715440718482746,-0.41626780786182327,1
15,51.715414787172826,-0.4017525800379214,1
16,51.715387067516545,-0.3872373694338069,1
17,51.7153575595179,-0.37272217719741146,1
18,51.71532626318112,-0.35820700447665593,1
19,51.715293178510656,-0.3436918524194499,1
20,51.71525830551127,-0.3291767221736915,1
21,51.71522164418798,-0.31466161488726596,1
22,51.71518319454599,-0.3001465317080455,1
23,51.71514295659085,-0.28563147378388876,1
24,51.71510093032832,-0.2711164422626394,1
25,51.71505711576438,-0.2566014382921265,1
26,51.71501151290536,-0.24208646302016298,1
27,51.71496412175776,-0.22757151759454544,1
28,51.714914942328384,-0.21305660316305328,1
29,51.71486397462428,-0.1985417208734485,1
30,51.71481121865273,-0.18402687187347422,1
31,51.71475667442131,-0.16951205731085472,1
32,51.71470034193782,-0.15499727833329427,1
33,51.71464222121035,-0.14048253608847727,1
34,51.71458231224721,-0.12596783172406675,1
35,51.714520615056976,-0.1114531663877039,1
36,51.71445712964851,-0.09693854122700801,1
37,51.7143918560309,-0.0824239573895748,1
38,51.71432479421348,-0.0679094160229767,1
39,51.714255944205874,-0.05339491827476136,1
40,51.71418530601793,-0.0388804652924525,1
41,51.71411287965977,-0.02436605822354656,1
42,51.714038665141786,-0.009851698215514999,1
43,51.71396266247459,0.004662613584197936,1
44,51.71388487166908,0.019176876028176235,1
45,51.713805292736396,0.03369108796903191,1
46,51.71372392568793,0.04820524825940471,1
47,51.713640770535356,0.06271935575196629,1
48,51.71355582729056,0.07723340929941633,1
49,51.71346909596574,0.09174740775448681,1
50,51.713380576573286,0.10626134996994072,1
51,51.7132902691259,0.12077523479857326,1
52,51.71319817363651,0.13528906109321304,1
53,51.7131042901183,0.1498028277067209,1
54,51.71300861858474,0.16431653349199368,1
55,51.71291115904951,0.1788301773019619,1
56,51.71281191152658,0.19334375798959136,1
57,51.712710876030165,0.20785727440788465,1
58,51.71260805257474,0.2223707254098813,1
59,51.712503441175,0.23688410984865785,1
60,51.71239704184598,0.251397426577329,1
61,51.712288854602896,0.26591067444904887,1
62,51.71217887946123,0.2804238523170097,1
63,51.71206711643674,0.2949369590344455,1
64,51.71195356554544,0.3094499934546296,1
65,51.711838226803586,0.323962954430877,1
66,51.7117211002277,0.33847584081654614,1
67,51.711602185834565,0.3529886514650363,1
68,51.706622773301994,-0.6193840462320676,1
69,51.706621879402945,-0.6048715836168551,1
70,51.70661919770595,-0.590359122148684,1
71,51.70661472821137,-0.5758466629745953,1
72,51.70660847091985,-0.5613342072416287,1
73,51.706600425832306,-0.5468217560968217,1
74,51.70659059294986,-0.5323093106872092,1
75,51.706578972273945,-0.517796872159823,1
76,51.706565563806215,-0.5032844416616907,1
77,51.70655036754858,-0.48877202033983547,1
78,51.706533383503235,-0.47425960934127537,1
79,51.7065146116726,-0.45974720981302203,1
80,51.706494052059355,-0.4452348229020812,1
81,51.70647170466648,-0.43072244975545093,1
82,51.70644756949712,-0.41621009152012156,1
83,51.70642164655479,-0.40169774934307473,1
84,51.70639393584315,-0.38718542437128295,1
85,51.7063644373662,-0.3726731177517091,1
86,51.706333151128156,-0.3581608306313054,1
87,51.70630007713349,-0.3436485641570125,1
88,51.706265215386956,-0.32913631947576,1
89,51.706228565893525,-0.3146240977344646,1
90,51.70619012865846,-0.30011190008002947,1
91,51.706149903687255,-0.28559972765934494,1
92,51.70610789098567,-0.2710875816192858,1
93,51.70606409055972,-0.2565754631067126,1
94,51.706018502415695,-0.2420633732684699,1
95,51.7059711265601,-0.22755131325138522,1
96,51.705921962999724,-0.21303928420227017,1
97,51.705871011741614,-0.19852728726791752,1
98,51.70581827279307,-0.18401532359510203,1
99,51.705763746161615,-0.16950339433057973,1
100,51.70570743185508,-0.1549915006210867,1
101,51.70564932988154,-0.14047964361333828,1
102,51.70558944024929,-0.1259678244540297,1
103,51.705527762966895,-0.11145604428983376,1
104,51.70546429804321,-0.09694430426740065,1
105,51.705399045487326,-0.08243260553335892,1
106,51.70533200530857,-0.06792094923431194,1
107,51.70526317751654,-0.05340933651683964,1
108,51.705192562121105,-0.03889776852749679,1
109,51.70512015913236,-0.024386246412812822,1
110,51.70504596856067,-0.009874771319290638,1
111,51.70496999041668,0.004636655606594503,1
112,51.70489222471124,0.019148033218393673,1
113,51.7048126714555,0.033659360369686676,1
114,51.70473133066084,0.04817063591408203,1
115,51.70464820233891,0.06268185870521828,1
116,51.70456328650161,0.07719302759676447,1
